BUILDING_NUMBER,BUILDING_NAME_LONG,START_DATE_USE_YEAR,BUILDING_GROUP_LEVEL1,GJ,LOG_GJ
NW35,Ashdown House,2024,Non-CUP,16865.34098820515,4.226995126301907
NW61,Random Hall,2009,Non-CUP,3770.91077077288,3.5764462560281496
NW61,Random Hall,2010,Non-CUP,3828.6769179574094,3.5830487200514582
NW61,Random Hall,2011,Non-CUP,3656.330738411348,3.563045473541642
NW61,Random Hall,2012,Non-CUP,3658.195528525105,3.563266914560323
NW61,Random Hall,2013,Non-CUP,4095.480833979132,3.6123048978631775
NW61,Random Hall,2014,Non-CUP,4104.336213143819,3.6132429294752018
NW61,Random Hall,2015,Non-CUP,3778.67387531703,3.577339411032644
NW61,Random Hall,2016,Non-CUP,3327.4337470562778,3.522109416941808
NW61,Random Hall,2017,Non-CUP,3450.1752097475683,3.5378411503470164
NW61,Random Hall,2018,Non-CUP,3799.873028106612,3.579769085007878
NW61,Random Hall,2019,Non-CUP,3345.5910683247253,3.5244728560455525
NW61,Random Hall,2020,Non-CUP,3284.456469028868,3.5164635102635016
NW61,Random Hall,2021,Non-CUP,3406.968815791772,3.532368158460294
NW61,Random Hall,2022,Non-CUP,4593.515453433711,3.6621451817605135
NW61,Random Hall,2023,Non-CUP,4201.694171544428,3.623424438254533
NW61,Random Hall,2024,Non-CUP,4301.9897204088,3.633669368307355
NW86,70 Pacific Street Dormitory,2009,Non-CUP,27501.23447923988,4.439352188938948
NW86,70 Pacific Street Dormitory,2010,Non-CUP,28147.818165729477,4.449444736831861
NW86,70 Pacific Street Dormitory,2011,Non-CUP,27118.046602568014,4.433258402736339
NW86,70 Pacific Street Dormitory,2012,Non-CUP,24634.23330437013,4.391539050196767
NW86,70 Pacific Street Dormitory,2013,Non-CUP,25941.542229523737,4.413995791403507
NW86,70 Pacific Street Dormitory,2014,Non-CUP,27183.78359291558,4.4343099041685585
NW86,70 Pacific Street Dormitory,2015,Non-CUP,24059.81446078137,4.381292273919473
NW86,70 Pacific Street Dormitory,2016,Non-CUP,24129.826072229454,4.382554191525726
NW86,70 Pacific Street Dormitory,2017,Non-CUP,26025.49611886484,4.415399017130958
NW86,70 Pacific Street Dormitory,2018,Non-CUP,27992.79904042547,4.447046326370207
NW86,70 Pacific Street Dormitory,2019,Non-CUP,25036.54539134216,4.398574403572683
NW86,70 Pacific Street Dormitory,2020,Non-CUP,31937.733468091013,4.504304092227376
NW86,70 Pacific Street Dormitory,2021,Non-CUP,21077.560978541795,4.32382035441315
NW86,70 Pacific Street Dormitory,2022,Non-CUP,23184.391523426923,4.365195702281175
NW86,70 Pacific Street Dormitory,2023,Non-CUP,28725.460833782807,4.458267004669759
NW86,70 Pacific Street Dormitory,2024,Non-CUP,25193.882489450236,4.401295099368557
Parking Areas,Parking Areas,2009,Non-CUP,214.67349190681736,2.3317784206386616
Parking Areas,Parking Areas,2010,Non-CUP,204.3131183947112,2.310296252405958
Parking Areas,Parking Areas,2011,Non-CUP,215.36465961452524,2.3331744390101914
Parking Areas,Parking Areas,2012,Non-CUP,181.5116649464044,2.258904540441367
Parking Areas,Parking Areas,2013,Non-CUP,184.22595226879525,2.2653508100802364
Parking Areas,Parking Areas,2014,Non-CUP,182.1740374494812,2.2604864835269622
Parking Areas,Parking Areas,2015,Non-CUP,172.98721881985082,2.238014016417428
Parking Areas,Parking Areas,2016,Non-CUP,225.04894159306963,2.3522769747889596
Parking Areas,Parking Areas,2017,Non-CUP,212.0635966508218,2.3264661228750474
Parking Areas,Parking Areas,2018,Non-CUP,181.39646972847797,2.2586288307264986
Parking Areas,Parking Areas,2019,Non-CUP,147.00720892225476,2.167338632152194
Parking Areas,Parking Areas,2020,Non-CUP,172.53723749982575,2.2368828402523055
Parking Areas,Parking Areas,2021,Non-CUP,162.83564024008683,2.211749466066612
Parking Areas,Parking Areas,2022,Non-CUP,165.27994597016374,2.2182201622051703
Parking Areas,Parking Areas,2023,Non-CUP,160.9817424005377,2.206776623706866
W11,Religious Activities Center,2009,Non-CUP,2218.5102481407,3.346061439228222
W11,Religious Activities Center,2010,Non-CUP,3040.317537091367,3.482918944597177
W11,Religious Activities Center,2011,Non-CUP,2994.303048687445,3.476295752490781
W11,Religious Activities Center,2012,Non-CUP,2775.37611116165,3.4433218458131796
W11,Religious Activities Center,2013,Non-CUP,2860.672375669421,3.4564681221931126
W11,Religious Activities Center,2014,Non-CUP,2711.2185236421387,3.433164523035018
W11,Religious Activities Center,2015,Non-CUP,2753.653481861532,3.439909287996481
W11,Religious Activities Center,2016,Non-CUP,3461.2811496470094,3.5392368771852487
W11,Religious Activities Center,2017,Non-CUP,5269.316454155906,3.721754281352581
W11,Religious Activities Center,2018,Non-CUP,2949.258937351002,3.4697129041645214
W11,Religious Activities Center,2019,Non-CUP,3129.622549604563,3.495491962304066
W11,Religious Activities Center,2020,Non-CUP,1930.859990005636,3.2857507834777535
W11,Religious Activities Center,2021,Non-CUP,2822.4455077077528,3.450625565856427
W11,Religious Activities Center,2022,Non-CUP,2942.355094992059,3.4686950839216077
W11,Religious Activities Center,2023,Non-CUP,2547.9104167317532,3.406184154352869
W11,Religious Activities Center,2024,Non-CUP,2781.4723608056006,3.4442747487603085
W15,MIT Chapel,2009,Non-CUP,1193.0433022966893,3.076656206962223
W15,MIT Chapel,2010,Non-CUP,1229.3469933538604,3.0896744833982996
W15,MIT Chapel,2011,Non-CUP,1371.0257368462137,3.137045607426552
W15,MIT Chapel,2012,Non-CUP,942.9708396542618,2.9744982628613417
W15,MIT Chapel,2013,Non-CUP,529.289439916825,2.723693229280137
W15,MIT Chapel,2014,Non-CUP,1148.4256287089786,3.0601028758156663
