START_DATE_USE_YEAR,BUILDING_NUMBER,residual,observed,NUM_OF_ROOMS,LOG_BUILDING_VOLUME,AGE
2009,W51,-0.3610501542268629,4.113060438375478,671.0,5.534486787061152,62
2009,W59,-0.2691634295241862,3.4794896383483764,162.0,4.53401152211893,31
2009,W61,-0.5831153322557334,4.1575154652662425,143.0,5.902043623319413,40
2009,W7,-0.293808068733778,4.12579392732858,492.0,5.459314222567755,61
2009,W70,-0.1456535197219333,4.103389695742096,484.0,5.224097362323738,34
2009,W71,-0.3131955846874543,4.014312365085335,529.0,5.332307730498524,29
2009,W79,-0.267779574215357,4.352612488373233,778.0,5.736222915575558,8
2009,W8,0.1547910905093137,3.6400283677925462,69.0,4.17073596993827,43
2009,W84,-0.6619333901579276,4.161257835997281,389.0,6.015902345429083,37
2009,W91,0.6332465516544468,4.440550499134025,114.0,4.614896690876094,61
